season,player,total_runs,total_wickets
2008,ST Jayasuriya,514,127
2008,SR Watson,472,344
2008,YK Pathan,435,170
2008,SK Raina,421,20
2008,V Sehwag,406,67
2008,RG Sharma,404,25
2008,SC Ganguly,349,121
2008,DJ Hussey,319,79
2009,SK Raina,434,167
2009,TM Dilshan,418,96
2009,JP Duminy,372,107
2009,BJ Hodge,365,123
2009,SR Tendulkar,364,37
2009,RG Sharma,362,140
2009,JH Kallis,361,289
2009,Yuvraj Singh,340,121
2010,JH Kallis,572,350
2010,SK Raina,528,147
2010,SC Ganguly,493,25
2010,A Symonds,429,325
2010,RG Sharma,404,119
2010,V Sehwag,356,34
2010,YK Pathan,333,214
2010,TL Suman,307,13
2010,V Kohli,307,33
2011,CH Gayle,608,225
2011,V Kohli,557,106
2011,PC Valthaty,463,147
2011,SK Raina,438,173
2011,JH Kallis,424,150
2011,S Dhawan,400,12
2011,RG Sharma,372,25
2011,MK Tiwary,359,13
2011,Yuvraj Singh,343,175
2011,Y Venugopal Rao,336,12
2011,SR Watson,330,226
2012,CH Gayle,733,30
2012,S Dhawan,569,37
2012,V Sehwag,495,24
2012,CL White,479,20
2012,SK Raina,441,85
2012,JH Kallis,409,336
2012,DJ Hussey,396,55
2012,DJ Bravo,371,363
2012,V Kohli,364,18
2012,KP Pietersen,305,40
2013,CH Gayle,720,25
2013,SK Raina,548,12
2013,SR Watson,543,256
2013,AJ Finch,456,24
2013,KA Pollard,420,197
2013,DR Smith,418,32
2013,YK Pathan,332,55
2013,JH Kallis,311,329
2014,DR Smith,566,62
2014,GJ Maxwell,552,70
2014,SK Raina,523,109
2014,JP Duminy,410,204
2014,LMP Simmons,394,18
2014,RG Sharma,390,18
2014,Yuvraj Singh,376,140
2015,V Kohli,505,11
2015,CH Gayle,491,13
2015,KA Pollard,419,81
2015,JP Duminy,414,107
2015,DR Smith,399,12
2015,SK Raina,374,78
2015,SR Watson,347,193
2015,AD Russell,326,254
2015,YK Pathan,312,60
2016,SK Raina,399,61
2016,YK Pathan,361,38
2016,DR Smith,324,113
2017,SK Raina,442,72
2017,KA Pollard,395,12
2017,BA Stokes,316,274
2017,GJ Maxwell,310,115
