batsman,batsman_runs,average,strike_rate,best_score,basra,report_date
DL Chahar,14,14.0,233.33333333333331,14,247.33333333333331,2025-04-27
Umar Gul,39,13.0,205.26315789473685,24,218.26315789473685,2025-04-27
BCJ Cutting,124,24.8,187.87878787878788,39,212.6787878787879,2025-04-27
RS Sodhi,4,4.0,200.0,4,204.0,2025-04-27
AJ Tye,53,26.5,176.66666666666666,25,203.16666666666666,2025-04-27
SN Khan,177,29.5,173.52941176470588,45,203.02941176470588,2025-04-27
CH Morris,439,36.583333333333336,165.66037735849056,82,202.2437106918239,2025-04-27
AD Russell,574,26.09090909090909,173.41389728096678,66,199.50480637187587,2025-04-27
J Suchith,48,48.0,150.0,34,198.0,2025-04-27
LJ Wright,106,21.2,176.66666666666666,44,197.86666666666665,2025-04-27
CA Lynn,384,38.4,158.02469135802468,93,196.4246913580247,2025-04-27
KH Pandya,480,34.285714285714285,158.4158415841584,86,192.70155586987266,2025-04-27
CH Gayle,3651,41.02247191011236,151.55666251556664,175,192.579134425679,2025-04-27
CR Brathwaite,95,11.875,179.24528301886792,34,191.12028301886792,2025-04-27
Kamran Akmal,128,25.6,164.1025641025641,53,189.70256410256408,2025-04-27
GJ Maxwell,1229,25.081632653061224,164.3048128342246,95,189.38644548728584,2025-04-27
AB de Villiers,3486,38.30769230769231,148.46678023850086,133,186.77447254619318,2025-04-27
Shahid Afridi,81,10.125,176.08695652173913,33,186.21195652173913,2025-04-27
HM Amla,577,44.38461538461539,141.76904176904176,104,186.15365715365715,2025-04-27
V Shankar,101,50.5,134.66666666666666,63,185.16666666666666,2025-04-27
KK Cooper,116,12.88888888888889,170.58823529411765,32,183.47712418300654,2025-04-27
ER Dwivedi,24,12.0,171.42857142857142,19,183.42857142857142,2025-04-27
V Sehwag,2728,27.55555555555556,155.44159544159544,122,182.997150997151,2025-04-27
DA Warner,4014,40.14,142.08849557522123,126,182.22849557522125,2025-04-27
MN van Wyk,167,55.66666666666666,126.51515151515152,74,182.1818181818182,2025-04-27
I Malhotra,7,7.0,175.0,7,182.0,2025-04-27
BJ Haddin,18,18.0,163.63636363636363,18,181.63636363636363,2025-04-27
AUK Pathan,39,7.8,169.56521739130434,14,177.36521739130436,2025-04-27
JJ Roy,59,29.5,147.5,31,177.0,2025-04-27
RR Pant,564,25.63636363636364,151.20643431635386,97,176.8427979527175,2025-04-27
DA Miller,1563,34.733333333333334,141.32007233273058,101,176.0534056660639,2025-04-27
YK Pathan,2922,29.816326530612244,146.1,100,175.91632653061225,2025-04-27
KA Pollard,2354,28.70731707317073,146.94132334581772,78,175.64864041898846,2025-04-27
KJ Abbott,13,13.0,162.5,12,175.5,2025-04-27
Bipul Sharma,187,23.375,152.03252032520325,35,175.40752032520325,2025-04-27
BA Stokes,316,31.6,142.98642533936652,103,174.5864253393665,2025-04-27
MS Dhoni,3560,37.87234042553192,136.7127496159754,70,174.58509004150733,2025-04-27
AN Ahmed,36,36.0,138.46153846153845,18,174.46153846153845,2025-04-27
RA Tripathi,391,27.928571428571427,146.44194756554307,93,174.3705189941145,2025-04-27
LPC Silva,40,20.0,153.84615384615387,23,173.84615384615387,2025-04-27
SK Raina,4548,33.940298507462686,139.2102846648301,100,173.15058317229278,2025-04-27
ML Hayden,1107,35.70967741935484,137.34491315136478,93,173.05459057071963,2025-04-27
D Wiese,127,31.75,141.11111111111111,47,172.86111111111111,2025-04-27
SE Marsh,2489,39.507936507936506,133.0304649919829,115,172.53840149991942,2025-04-27
