bowler,top_order_wickets_in_death
SL Malinga,66
DJ Bravo,49
B Kumar,44
A Nehra,41
UT Yadav,37
DW Steyn,34
SP Narine,34
RP Singh,33
R Vinay Kumar,32
SR Watson,30
P Kumar,28
MM Sharma,28
Z Khan,27
PP Chawla,26
JA Morkel,26
M Morkel,23
JH Kallis,22
AB Dinda,22
MJ McClenaghan,22
CH Morris,21
Imran Tahir,21
L Balaji,20
A Mishra,20
RJ Harris,18
JP Faulkner,18
Sandeep Sharma,18
MG Johnson,18
R Ashwin,17
SK Trivedi,17
IK Pathan,17
M Muralitharan,16
JD Unadkat,16
SK Warne,16
DE Bollinger,16
DS Kulkarni,15
PP Ojha,15
MM Patel,15
KK Cooper,14
Harbhajan Singh,14
JJ Bumrah,14
RA Jadeja,14
KA Pollard,14
P Awana,13
NLTC Perera,13
R Bhatia,13
Azhar Mahmood,13
S Aravind,13
NM Coulter-Nile,13
VR Aaron,11
WD Parnell,11
Mohammed Shami,10
A Kumble,10
YS Chahal,10
MA Starc,10
I Sharma,10
SW Tait,9
AR Patel,9
Sohail Tanvir,9
DP Nannes,9
A Ashish Reddy,8
R Sharma,8
A Singh,8
Shakib Al Hasan,8
Anureet Singh,8
TA Boult,8
Kuldeep Yadav,8
AD Mathews,8
HV Patel,8
SB Jakati,7
D Wiese,7
A Zampa,7
MS Gony,7
J Botha,7
S Kaul,7
Basil Thampi,7
AD Russell,6
MR Marsh,6
PJ Sangwan,6
JE Taylor,6
DT Christian,6
MF Maharoof,6
Harmeet Singh,6
BE Hendricks,6
B Lee,6
Mustafizur Rahman,6
DL Vettori,5
AJ Tye,5
Anand Rajan,5
CH Gayle,5
DR Smith,5
GB Hogg,5
Iqbal Abdulla,5
JR Hopes,5
RG Sharma,5
S Nadeem,5
SB Styris,5
V Pratap Singh,5
VRV Singh,5
YA Abdulla,5
T Thushara,4
CR Woakes,4
LR Shukla,4
PV Tambe,4
PJ Cummins,4
MC Henriques,4
S Sreesanth,4
VY Mahesh,4
KW Richardson,4
MN Samuels,4
AN Ahmed,4
Mohammad Asif,4
Yuvraj Singh,4
A Mithun,4
J Theron,4
HH Pandya,4
Umar Gul,4
M Kartik,4
TG Southee,4
SJ Srivastava,4
GD McGrath,3
S Randiv,3
MP Stoinis,3
AC Thomas,3
M Ashwin,3
ST Jayasuriya,3
STR Binny,3
AB Agarkar,3
CK Langeveldt,3
P Negi,3
P Parameswaran,3
CJ Jordan,3
A Symonds,3
JEC Franklin,3
JP Duminy,3
BW Hilfenhaus,3
BJ Hodge,3
R McLaren,3
R Rampaul,3
RE van der Merwe,3
KH Pandya,3
BA Stokes,3
AA Chavan,2
IC Pandey,2
L Ablish,2
PD Collingwood,2
YK Pathan,2
FH Edwards,2
KV Sharma,2
BAW Mendis,2
M Ntini,2
RS Bopara,2
JJ van der Wath,2
JO Holder,2
CJ Anderson,2
KMDN Kulasekara,2
JDP Oram,2
B Akhil,2
Karanveer Singh,2
AF Milne,2
SMSM Senanayake,2
SN Thakur,2
K Rabada,2
RJ Peterson,2
DJ Hussey,2
KC Cariappa,2
S Ladda,2
R Dhawan,2
Jaskaran Singh,2
CR Brathwaite,2
SK Raina,2
KP Pietersen,2
Kamran Khan,2
BCJ Cutting,2
BB Sran,2
AM Salvi,2
Shahid Afridi,2
Rashid Khan,1
K Santokie,1
JD Ryder,1
J Yadav,1
LJ Wright,1
LMP Simmons,1
M de Lange,1
MA Khote,1
GS Sandhu,1
GJ Maxwell,1
MJ Henry,1
Gagandeep Singh,1
MK Tiwary,1
DP Vijaykumar,1
DNT Zoysa,1
Mohammed Siraj,1
DJ Muthuswami,1
DJ Hooda,1
ND Doshi,1
CRD Fernando,1
P Amarnath,1
Pankaj Singh,1
PC Valthaty,1
Bipul Sharma,1
JW Hastings,1
Y Venugopal Rao,1
BA Bhatt,1
RR Powar,1
RV Gomez,1
S Gopal,1
AS Rajpoot,1
A Flintoff,1
S Narwal,1
Sachin Baby,1
AP Dole,1
SB Bangar,1
SB Joshi,1
SB Wagh,1
SD Chitnis,1
SE Bond,1
Shoaib Malik,1
AM Nayar,1
AD Mascarenhas,1
SM Harwood,1
AC Gilchrist,1
AB McDonald,1
SS Sarkar,1
T Shamsi,1
AA Noffke,1
TM Dilshan,1
TM Head,1
TS Mills,1
V Kohli,1
A Uniyal,1
WA Mota,1
Washington Sundar,1
Joginder Sharma,1
WPUJC Vaas,1
