team,venue,matches_played,matches_won,win_percentage
Chennai Super Kings,Buffalo Park,1,1,100.0
Chennai Super Kings,St George's Park,2,2,100.0
Chennai Super Kings,Sharjah Cricket Stadium,1,1,100.0
Chennai Super Kings,Feroz Shah Kotla Ground,1,1,100.0
Chennai Super Kings,ACA-VDCA Stadium,1,1,100.0
Chennai Super Kings,Dubai International Cricket Stadium,2,2,100.0
Chennai Super Kings,De Beers Diamond Oval,1,1,100.0
Chennai Super Kings,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,1,1,100.0
Chennai Super Kings,Maharashtra Cricket Association Stadium,6,5,83.33
Chennai Super Kings,"Rajiv Gandhi International Stadium, Uppal",4,3,75.0
Chennai Super Kings,"Punjab Cricket Association Stadium, Mohali",4,3,75.0
Chennai Super Kings,Dr DY Patil Sports Academy,4,3,75.0
Chennai Super Kings,M. A. Chidambaram Stadium,8,6,75.0
Chennai Super Kings,Feroz Shah Kotla,7,5,71.43
Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",48,34,70.83
Chennai Super Kings,SuperSport Park,3,2,66.67
Chennai Super Kings,M Chinnaswamy Stadium,8,5,62.5
Chennai Super Kings,JSCA International Stadium Complex,5,3,60.0
Chennai Super Kings,Himachal Pradesh Cricket Association Stadium,2,1,50.0
Chennai Super Kings,Sawai Mansingh Stadium,6,3,50.0
Chennai Super Kings,Sheikh Zayed Stadium,2,1,50.0
Chennai Super Kings,New Wanderers Stadium,2,1,50.0
Chennai Super Kings,Wankhede Stadium,14,7,50.0
Chennai Super Kings,Subrata Roy Sahara Stadium,2,1,50.0
Chennai Super Kings,Brabourne Stadium,2,1,50.0
Chennai Super Kings,Eden Gardens,11,5,45.45
Chennai Super Kings,Kingsmead,4,1,25.0
Chennai Super Kings,Newlands,1,0,0.0
Chennai Super Kings,"Punjab Cricket Association IS Bindra Stadium, Mohali",1,0,0.0
Chennai Super Kings,M. Chinnaswamy Stadium,1,0,0.0
Chennai Super Kings,Nehru Stadium,1,0,0.0
Chennai Super Kings,"Sardar Patel Stadium, Motera",2,0,0.0
Chennai Super Kings,"Vidarbha Cricket Association Stadium, Jamtha",1,0,0.0
Chennai Super Kings,Rajiv Gandhi Intl. Cricket Stadium,2,0,0.0
Chennai Super Kings,IS Bindra Stadium,1,0,0.0
Chennai Super Kings,Shaheed Veer Narayan Singh International Stadium,1,0,0.0
Chennai Super Kings,Barabati Stadium,1,0,0.0
Deccan Chargers,Newlands,2,2,100.0
Deccan Chargers,Subrata Roy Sahara Stadium,1,1,100.0
Deccan Chargers,Himachal Pradesh Cricket Association Stadium,2,2,100.0
Deccan Chargers,Nehru Stadium,1,1,100.0
Deccan Chargers,Barabati Stadium,4,3,75.0
Deccan Chargers,New Wanderers Stadium,3,2,66.67
Deccan Chargers,"Vidarbha Cricket Association Stadium, Jamtha",3,2,66.67
Deccan Chargers,Kingsmead,3,2,66.67
Deccan Chargers,De Beers Diamond Oval,2,1,50.0
Deccan Chargers,"MA Chidambaram Stadium, Chepauk",4,2,50.0
Deccan Chargers,Wankhede Stadium,2,1,50.0
Deccan Chargers,SuperSport Park,4,2,50.0
Deccan Chargers,Feroz Shah Kotla,4,2,50.0
Deccan Chargers,M Chinnaswamy Stadium,3,1,33.33
Deccan Chargers,Dr DY Patil Sports Academy,6,2,33.33
Deccan Chargers,"Rajiv Gandhi International Stadium, Uppal",18,3,16.67
Deccan Chargers,Sawai Mansingh Stadium,2,0,0.0
Deccan Chargers,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,2,0,0.0
Deccan Chargers,Buffalo Park,1,0,0.0
Deccan Chargers,St George's Park,1,0,0.0
Deccan Chargers,"Punjab Cricket Association Stadium, Mohali",2,0,0.0
Deccan Chargers,Eden Gardens,3,0,0.0
Deccan Chargers,Brabourne Stadium,1,0,0.0
Deccan Chargers,"Sardar Patel Stadium, Motera",1,0,0.0
Delhi Capitals,M. Chinnaswamy Stadium,1,1,100.0
Delhi Capitals,Wankhede Stadium,1,1,100.0
Delhi Capitals,Eden Gardens,1,1,100.0
Delhi Capitals,Sawai Mansingh Stadium,1,1,100.0
Delhi Capitals,Rajiv Gandhi Intl. Cricket Stadium,1,1,100.0
Delhi Capitals,Feroz Shah Kotla Ground,7,4,57.14
Delhi Capitals,ACA-VDCA Stadium,2,1,50.0
Delhi Capitals,M. A. Chidambaram Stadium,1,0,0.0
Delhi Capitals,IS Bindra Stadium,1,0,0.0
