season,bowler,total_wickets,economy_rate
2008,Sohail Tanvir,22,6.68
2008,SK Warne,19,7.87
2008,S Sreesanth,19,8.81
2008,PP Chawla,17,8.46
2008,SR Watson,17,7.29
2008,JA Morkel,17,8.63
2008,MS Gony,17,7.6
2008,MF Maharoof,15,7.08
2008,IK Pathan,15,6.81
2008,RP Singh,15,8.94
2008,MM Patel,14,7.69
2008,Z Khan,13,8.79
2008,SK Trivedi,13,8.48
2008,Umar Gul,12,8.8
2008,GD McGrath,12,6.78
2008,A Nehra,12,7.96
2008,PP Ojha,11,8.08
2008,L Balaji,11,8.88
2008,DJ Bravo,11,8.39
2008,M Muralitharan,11,7.17
2008,P Kumar,11,8.42
2008,SM Pollock,11,6.67
2008,DS Kulkarni,11,8.2
2008,A Mishra,11,7.06
2008,VRV Singh,11,8.85
2008,DW Steyn,10,6.97
2008,CRD Fernando,10,8.2
2009,RP Singh,23,7.21
2009,A Kumble,21,5.97
2009,A Nehra,19,6.94
2009,PP Ojha,18,6.71
2009,SL Malinga,18,6.75
2009,IK Pathan,17,7.91
2009,MM Patel,16,7.03
2009,PJ Sangwan,15,8.01
2009,DP Nannes,15,7.76
2009,YA Abdulla,14,8.71
2009,SK Warne,14,7.38
2009,A Mishra,14,7.11
2009,M Muralitharan,14,5.34
2009,L Balaji,13,8.57
2009,SB Jakati,13,7.76
2009,JA Morkel,13,8.25
2009,P Kumar,13,8.07
2009,Harbhajan Singh,12,6.18
2009,PP Chawla,12,7.12
2009,DJ Bravo,11,7.99
2009,I Sharma,11,7.05
2009,RG Sharma,11,7.09
2009,R Bhatia,10,7.06
2010,PP Ojha,21,7.46
2010,A Kumble,17,6.66
2010,Harbhajan Singh,17,7.2
2010,A Mishra,17,7.0
2010,M Muralitharan,16,7.32
2010,R Vinay Kumar,16,8.75
2010,DW Steyn,15,7.03
2010,KA Pollard,15,7.46
2010,Z Khan,15,8.03
2010,SL Malinga,15,7.35
2010,RJ Harris,14,7.79
2010,R Ashwin,13,6.42
2010,JH Kallis,13,8.49
2010,SB Jakati,13,7.89
2010,PP Chawla,12,7.57
2010,A Symonds,12,7.26
2010,DE Bollinger,12,6.87
2010,SK Warne,11,7.78
2010,SK Trivedi,11,7.49
2010,JA Morkel,11,8.6
2010,SW Tait,10,8.79
2010,P Kumar,10,8.71
2011,SL Malinga,28,6.24
2011,MM Patel,22,6.94
2011,S Aravind,21,8.2
2011,R Ashwin,20,6.32
2011,A Mishra,19,6.92
2011,DE Bollinger,17,7.3
2011,RJ Harris,16,8.53
2011,Iqbal Abdulla,16,6.26
2011,R Sharma,16,5.56
2011,PP Chawla,16,8.23
2011,JA Morkel,15,8.67
2011,DW Steyn,14,6.68
2011,Harbhajan Singh,14,7.04
2011,Z Khan,14,7.88
2011,M Morkel,13,7.81
2011,SK Warne,13,6.34
2011,RP Singh,13,7.3
2011,YK Pathan,13,6.26
2011,R Vinay Kumar,12,7.72
2011,DL Vettori,12,6.1
2011,I Sharma,11,7.36
2011,DT Christian,11,7.82
2011,IK Pathan,11,7.7
2011,Shakib Al Hasan,11,6.94
2011,AC Thomas,11,7.79
2011,KA Pollard,10,8.64
2011,P Kumar,10,7.67
2011,PP Ojha,10,7.63
2011,L Balaji,10,8.64
2011,SB Jakati,10,7.65
2011,SK Trivedi,10,8.61
2012,M Morkel,25,7.4
2012,SP Narine,24,5.61
2012,SL Malinga,22,6.4
2012,UT Yadav,19,7.52
2012,R Vinay Kumar,19,8.74
2012,DW Steyn,18,6.21
2012,P Awana,17,8.13
2012,Z Khan,17,7.8
2012,KA Pollard,16,8.03
