batsman,balls_faced,runs_scored,strike_rate
CR Brathwaite,31,75,241.94
HM Amla,52,122,234.62
LJ Wright,37,84,227.03
BJ Rohrer,35,79,225.71
MA Agarwal,44,99,225.0
AB de Villiers,550,1203,218.73
CH Gayle,189,412,217.99
JC Buttler,58,123,212.07
V Sehwag,35,73,208.57
SN Khan,76,150,197.37
AC Gilchrist,32,63,196.88
BCJ Cutting,54,106,196.3
DA Warner,223,432,193.72
ML Hayden,50,96,192.0
MEK Hussey,136,261,191.91
DA Miller,351,672,191.45
SM Pollock,42,80,190.48
V Kohli,522,993,190.23
CL White,193,363,188.08
GJ Maxwell,104,195,187.5
BB McCullum,97,181,186.6
SC Ganguly,103,190,184.47
SR Watson,192,352,183.33
KK Nair,92,168,182.61
Yuvraj Singh,486,883,181.69
AD Russell,158,287,181.65
CH Morris,190,345,181.58
RG Sharma,726,1314,180.99
PD Collingwood,45,81,180.0
KK Cooper,44,79,179.55
RV Uthappa,266,477,179.32
RR Pant,48,86,179.17
B Chipli,56,100,178.57
TM Head,56,100,178.57
KP Pietersen,69,123,178.26
HH Pandya,162,288,177.78
SS Iyer,52,92,176.92
MS Dhoni,1177,2076,176.38
M Vijay,71,125,176.06
DJ Hussey,233,410,175.97
GJ Bailey,187,327,174.87
KH Pandya,103,179,173.79
SK Raina,443,767,173.14
JH Kallis,228,394,172.81
DJ Bravo,397,686,172.8
AT Rayudu,407,703,172.73
RS Bopara,104,179,172.12
SPD Smith,311,535,172.03
TM Dilshan,116,199,171.55
KA Pollard,791,1352,170.92
JP Duminy,509,869,170.73
SV Samson,135,230,170.37
KS Williamson,76,129,169.74
BA Stokes,45,76,168.89
Gurkeerat Singh,99,167,168.69
R Dravid,119,200,168.07
WP Saha,289,482,166.78
MC Henriques,194,323,166.49
YK Pathan,559,930,166.37
CJ Anderson,101,168,166.34
GC Smith,40,66,165.0
SR Tendulkar,137,224,163.5
MS Gony,54,88,162.96
BJ Hodge,373,606,162.47
TR Birt,37,60,162.16
S Dhawan,241,386,160.17
MV Boucher,147,235,159.86
SE Marsh,164,262,159.76
A Symonds,184,293,159.24
DPMD Jayawardene,235,374,159.15
Sachin Baby,60,95,158.33
Bipul Sharma,109,172,157.8
D Wiese,66,104,157.58
MS Bisla,33,52,157.58
KL Rahul,73,115,157.53
AM Nayar,197,310,157.36
OA Shah,171,269,157.31
KD Karthik,449,704,156.79
LRPL Taylor,199,312,156.78
EJG Morgan,178,279,156.74
HH Gibbs,46,72,156.52
Ishan Kishan,39,61,156.41
JA Morkel,408,637,156.13
MK Pandey,218,340,155.96
AM Rahane,263,410,155.89
Harbhajan Singh,396,617,155.81
LMP Simmons,36,56,155.56
KC Sangakkara,130,202,155.38
JP Faulkner,284,439,154.58
Y Venugopal Rao,251,387,154.18
AJ Finch,168,259,154.17
AD Mathews,276,425,153.99
SA Yadav,181,278,153.59
MN van Wyk,43,66,153.49
Shakib Al Hasan,161,247,153.42
S Badrinath,278,422,151.8
AC Voges,56,85,151.79
NLTC Perera,176,267,151.7
MF Maharoof,89,135,151.69
RN ten Doeschate,140,212,151.43
DR Smith,111,168,151.35
DJ Hooda,104,157,150.96
DT Christian,185,277,149.73
IK Pathan,444,663,149.32
KM Jadhav,328,488,148.78
AR Patel,220,327,148.64
F du Plessis,111,164,147.75
PJ Cummins,40,59,147.5
A Ashish Reddy,146,214,146.58
P Negi,172,252,146.51
S Anirudha,52,76,146.15
R Bhatia,172,251,145.93
STR Binny,216,314,145.37
G Gambhir,186,270,145.16
HV Patel,31,45,145.16
MK Tiwary,409,593,144.99
MP Stoinis,38,55,144.74
B Akhil,34,49,144.12
M Morkel,81,116,143.21
JEC Franklin,68,97,142.65
SS Tiwary,289,410,141.87
DJG Sammy,96,136,141.67
NV Ojha,290,410,141.38
