season,batsman,balls_faced,runs_scored,strike_rate
2011,MS Dhoni,129.0,265.0,205.43
2012,DJ Bravo,141.0,273.0,193.62
2013,MS Dhoni,141.0,286.0,202.84
2013,KA Pollard,149.0,250.0,167.79
2014,MS Dhoni,169.0,301.0,178.11
All-Time,AB de Villiers,550.0,1203.0,218.73
All-Time,DA Miller,351.0,672.0,191.45
All-Time,V Kohli,522.0,993.0,190.23
All-Time,Yuvraj Singh,486.0,883.0,181.69
All-Time,RG Sharma,726.0,1314.0,180.99
All-Time,MS Dhoni,1177.0,2076.0,176.38
All-Time,SK Raina,443.0,767.0,173.14
All-Time,DJ Bravo,397.0,686.0,172.8
All-Time,AT Rayudu,407.0,703.0,172.73
All-Time,SPD Smith,311.0,535.0,172.03
All-Time,KA Pollard,791.0,1352.0,170.92
All-Time,JP Duminy,509.0,869.0,170.73
All-Time,YK Pathan,559.0,930.0,166.37
All-Time,BJ Hodge,373.0,606.0,162.47
All-Time,KD Karthik,449.0,704.0,156.79
All-Time,JA Morkel,408.0,637.0,156.13
All-Time,Harbhajan Singh,396.0,617.0,155.81
All-Time,IK Pathan,444.0,663.0,149.32
All-Time,MK Tiwary,409.0,593.0,144.99
All-Time,RA Jadeja,555.0,753.0,135.68
