bowler,balls_bowled,runs_conceded,wickets_taken,economy_rate
Sohail Tanvir,96,110,16,6.88
M Theekshana,90,109,10,7.27
DE Bollinger,210,268,21,7.66
SP Narine,745,1014,60,8.17
SL Malinga,917,1252,90,8.19
KH Pandya,106,145,14,8.21
Kuldeep Yadav,174,243,17,8.38
A Kumble,106,148,14,8.38
Rashid Khan,336,472,26,8.43
WD Parnell,189,268,15,8.51
JJ Bumrah,1163,1663,84,8.58
Imran Tahir,207,297,22,8.61
SW Tait,126,182,12,8.67
DP Nannes,184,267,12,8.71
Harbhajan Singh,177,258,19,8.75
M Muralitharan,155,226,14,8.75
CH Morris,586,862,55,8.83
R Bhatia,159,234,18,8.83
AR Patel,214,315,16,8.83
R Ashwin,331,491,18,8.9
M Pathirana,271,403,29,8.92
DW Steyn,532,792,43,8.93
A Nehra,419,633,46,9.06
KK Cooper,246,372,16,9.07
Z Khan,535,810,35,9.08
RA Jadeja,350,531,24,9.1
S Kaul,351,542,25,9.26
MA Starc,279,433,27,9.31
RJ Harris,250,392,24,9.41
PP Ojha,170,267,16,9.42
M Morkel,336,531,25,9.48
RP Singh,473,753,43,9.55
IK Pathan,393,626,26,9.56
NM Coulter-Nile,224,357,18,9.56
JA Morkel,295,474,29,9.64
MG Johnson,260,420,27,9.69
JR Hazlewood,200,324,19,9.72
B Kumar,1215,1973,87,9.74
Mustafizur Rahman,498,810,31,9.76
SK Trivedi,212,345,16,9.76
A Mishra,287,471,28,9.85
S Aravind,118,194,13,9.86
Avesh Khan,498,820,33,9.88
DL Chahar,160,264,13,9.9
DJ Bravo,1115,1842,102,9.91
K Rabada,504,833,53,9.92
Azhar Mahmood,171,284,16,9.96
YS Chahal,355,590,32,9.97
PP Chawla,264,441,28,10.02
JH Kallis,306,511,22,10.02
Arshdeep Singh,446,747,41,10.05
AJ Tye,222,374,21,10.11
MJ McClenaghan,296,502,26,10.18
JO Holder,236,402,24,10.22
Shakib Al Hasan,128,218,10,10.22
Mohammed Siraj,560,961,39,10.3
NA Saini,148,254,10,10.3
A Singh,149,256,16,10.31
JP Faulkner,377,649,29,10.33
SR Watson,505,871,36,10.35
MM Sharma,714,1238,61,10.4
Naveen-ul-Haq,135,234,11,10.4
Harshit Rana,109,189,10,10.4
A Nortje,336,584,21,10.43
HV Patel,655,1140,69,10.44
T Natarajan,461,802,38,10.44
P Kumar,492,856,32,10.44
Mohsin Khan,132,230,10,10.45
JC Archer,360,628,21,10.47
L Balaji,422,740,29,10.52
L Ngidi,102,179,13,10.53
BA Stokes,162,285,11,10.56
R Vinay Kumar,573,1022,44,10.7
TG Southee,330,597,17,10.85
Sandeep Sharma,623,1129,52,10.87
TA Boult,603,1097,49,10.92
DS Kulkarni,249,454,18,10.94
KK Ahmed,364,664,34,10.95
Yash Thakur,157,287,13,10.97
SN Thakur,551,1011,44,11.01
MM Patel,245,451,18,11.04
Mohammed Shami,572,1057,58,11.09
UT Yadav,618,1144,45,11.11
LH Ferguson,265,494,13,11.18
CR Woakes,152,284,15,11.21
P Awana,153,286,13,11.22
AD Russell,468,879,46,11.27
Yash Dayal,174,327,11,11.28
AB Dinda,394,742,24,11.3
M Prasidh Krishna,350,661,26,11.33
Shivam Mavi,163,310,12,11.41
SM Curran,335,638,34,11.43
KA Pollard,223,425,19,11.43
PJ Cummins,333,636,18,11.46
NLTC Perera,188,360,17,11.49
I Sharma,344,660,20,11.51
Mukesh Kumar,177,341,14,11.56
JD Unadkat,534,1050,45,11.8
Basil Thampi,155,305,13,11.81
RP Meredith,102,204,10,12.0
VR Aaron,164,329,12,12.04
TU Deshpande,233,471,23,12.13
CJ Jordan,248,505,13,12.22
MR Marsh,97,202,10,12.49
HH Pandya,208,448,22,12.92
MP Stoinis,143,316,14,13.26
