bowler,balls_bowled,runs_conceded,wickets_taken,economy_rate
A Chandila,144,139,10,5.79
SP Narine,498,493,16,5.94
R Ashwin,702,729,32,6.23
B Kumar,1049,1098,40,6.28
SL Malinga,996,1052,35,6.34
Iqbal Abdulla,276,293,14,6.37
DW Steyn,1068,1136,30,6.38
WPUJC Vaas,198,211,15,6.39
BW Hilfenhaus,240,260,12,6.5
DP Nannes,342,377,15,6.61
RJ Harris,426,480,14,6.76
Harbhajan Singh,546,616,19,6.77
YK Pathan,354,402,14,6.81
P Kumar,1572,1813,40,6.92
Z Khan,1292,1492,52,6.93
A Singh,264,308,11,7.0
Sandeep Sharma,792,930,39,7.05
PP Chawla,155,183,11,7.08
IC Pandey,264,312,11,7.09
SR Watson,768,909,33,7.1
B Lee,486,580,11,7.16
JD Unadkat,384,459,15,7.17
L Balaji,450,538,15,7.17
MM Patel,654,784,29,7.19
IK Pathan,918,1104,28,7.22
R Vinay Kumar,744,900,30,7.26
NM Coulter-Nile,288,349,12,7.27
M Morkel,906,1107,36,7.33
DS Kulkarni,754,923,39,7.34
AD Mascarenhas,168,206,12,7.36
RP Singh,1002,1237,35,7.41
JH Kallis,516,640,18,7.44
I Sharma,999,1240,35,7.45
AB Dinda,810,1010,33,7.48
DE Bollinger,324,404,11,7.48
Shakib Al Hasan,282,355,10,7.55
A Nehra,1093,1387,40,7.61
S Aravind,426,543,20,7.65
CH Morris,408,523,15,7.69
MG Johnson,579,746,26,7.73
WD Parnell,270,348,10,7.73
S Sreesanth,570,739,27,7.78
MM Sharma,696,914,30,7.88
DJ Bravo,210,277,10,7.91
MJ McClenaghan,450,596,20,7.95
JP Faulkner,371,496,16,8.02
P Awana,270,363,13,8.07
UT Yadav,744,1002,27,8.08
VR Aaron,288,405,11,8.44
JA Morkel,900,1300,34,8.67
MS Gony,486,722,18,8.91
PJ Sangwan,318,481,12,9.08
