batsman,batsman_runs,average,strike_rate,best_score
SK Raina,4548,33.940298507462686,139.2102846648301,100
V Kohli,4423,37.483050847457626,129.8972099853157,113
RG Sharma,4207,32.6124031007752,130.8960796515246,109
G Gambhir,4132,31.541984732824428,124.60796139927623,93
DA Warner,4014,40.14,142.08849557522123,126
RV Uthappa,3778,29.515625,131.6376306620209,87
CH Gayle,3651,41.02247191011236,151.55666251556664,175
S Dhawan,3561,32.669724770642205,121.86858316221767,95
MS Dhoni,3560,37.87234042553192,136.7127496159754,70
AB de Villiers,3486,38.30769230769231,148.46678023850086,133
AM Rahane,3057,33.59340659340659,120.59171597633136,103
YK Pathan,2922,29.816326530612244,146.1,100
KD Karthik,2903,24.811965811965813,125.94360086767895,86
BB McCullum,2755,28.112244897959183,131.06565176022835,158
V Sehwag,2728,27.555555555555557,155.44159544159544,122
SR Watson,2628,30.91764705882353,138.68073878627968,104
Yuvraj Singh,2591,25.653465346534652,131.25633232016213,83
M Vijay,2511,26.431578947368422,123.39066339066338,127
SE Marsh,2489,39.507936507936506,133.0304649919829,115
JH Kallis,2427,28.55294117647059,109.22592259225922,89
AT Rayudu,2416,27.146067415730336,126.16187989556136,81
DR Smith,2385,28.392857142857142,135.20408163265304,87
KA Pollard,2354,28.70731707317073,146.94132334581772,78
SR Tendulkar,2334,33.82608695652174,119.81519507186857,100
PA Patel,2322,21.700934579439252,117.21352852094901,81
MK Pandey,2223,28.5,120.35733622089874,114
R Dravid,2174,28.233766233766232,115.5154091392136,75
AC Gilchrist,2069,27.223684210526315,138.39464882943145,109
JP Duminy,1993,39.86,124.87468671679198,78
MEK Hussey,1977,38.76470588235294,122.64267990074443,116
DPMD Jayawardene,1808,28.25,123.49726775956285,110
RA Jadeja,1732,24.055555555555557,122.92405961674946,48
SPD Smith,1713,37.23913043478261,131.97226502311247,101
KC Sangakkara,1687,25.953846153846154,121.19252873563218,94
MK Tiwary,1648,29.428571428571427,117.29537366548041,75
AJ Finch,1604,27.1864406779661,130.08921330089214,88
DA Miller,1563,34.733333333333334,141.32007233273058,101
WP Saha,1557,25.524590163934427,130.73047858942067,115
NV Ojha,1553,20.986486486486488,118.6401833460657,94
S Badrinath,1441,30.659574468085108,118.8943894389439,71
SV Samson,1426,25.464285714285715,124.43280977312392,102
BJ Hodge,1400,33.333333333333336,125.22361359570662,73
SC Ganguly,1349,25.452830188679247,106.80918448139352,91
DJ Hussey,1322,26.979591836734695,122.97674418604652,71
F du Plessis,1295,30.11627906976744,127.96442687747036,73
SS Tiwary,1276,28.355555555555554,119.58762886597938,61
DJ Bravo,1262,22.945454545454545,126.32632632632632,70
GJ Maxwell,1229,25.081632653061224,164.3048128342246,95
KK Nair,1158,25.17391304347826,126.9736842105263,83
TM Dilshan,1153,26.813953488372093,114.49851042701091,76
IK Pathan,1150,21.69811320754717,121.05263157894737,60
Mandeep Singh,1112,20.21818181818182,120.8695652173913,77
ML Hayden,1107,35.70967741935484,137.34491315136478,93
LMP Simmons,1079,39.96296296296296,126.6431924882629,100
LRPL Taylor,1017,25.425,123.72262773722629,81
KP Pietersen,1001,35.75,134.72409152086138,103
Y Venugopal Rao,985,22.386363636363637,117.82296650717703,71
JA Morkel,975,24.375,141.92139737991266,73
A Symonds,974,36.074074074074076,129.86666666666667,117
CL White,971,26.97222222222222,127.76315789473685,78
MC Henriques,969,28.5,128.1746031746032,74
M Vohra,957,24.53846153846154,132.73231622746187,95
KM Jadhav,893,23.5,134.89425981873111,69
HH Gibbs,886,27.6875,109.78934324659231,69
EJG Morgan,854,21.35,121.13475177304964,66
MA Agarwal,814,17.695652173913043,123.33333333333334,68
SS Iyer,807,27.82758620689655,128.50318471337582,96
Harbhajan Singh,799,15.666666666666666,142.42424242424244,64
MS Bisla,798,21.0,113.67521367521367,92
