,batsman,opponent_team,total_runs,total_balls_faced,strike_rate,dismissals
1,A Ashish Reddy,Chennai Super Kings,45,25,1.0,2
2,A Ashish Reddy,Delhi Daredevils,36,24,1.0,3
3,A Ashish Reddy,Kings XI Punjab,37,23,1.0,1
4,A Ashish Reddy,Kolkata Knight Riders,17,14,1.0,2
5,A Ashish Reddy,Mumbai Indians,27,25,1.0,2
6,A Ashish Reddy,Pune Warriors,26,19,1.0,0
7,A Ashish Reddy,Rajasthan Royals,37,24,1.0,1
8,A Ashish Reddy,Royal Challengers Bangalore,55,42,1.0,4
9,A Badoni,Chennai Super Kings,123,86,1.0,2
10,A Badoni,Delhi Capitals,129,85,1.0,4
11,A Badoni,Gujarat Titans,139,105,1.0,4
12,A Badoni,Kolkata Knight Riders,84,81,1.0,3
13,A Badoni,Mumbai Indians,73,54,1.0,4
14,A Badoni,Punjab Kings,101,81,1.0,4
15,A Badoni,Rajasthan Royals,75,69,1.0,5
16,A Badoni,Royal Challengers Bangalore,47,53,0.0,3
17,A Badoni,Royal Challengers Bengaluru,0,3,0.0,1
18,A Badoni,Sunrisers Hyderabad,80,51,1.0,2
19,A Chandila,Deccan Chargers,0,1,0.0,0
20,A Chandila,Royal Challengers Bangalore,4,6,0.0,0
21,A Chopra,Deccan Chargers,35,45,0.0,2
22,A Chopra,Delhi Daredevils,13,18,0.0,1
23,A Chopra,Kings XI Punjab,2,3,0.0,1
24,A Chopra,Mumbai Indians,1,4,0.0,0
25,A Chopra,Royal Challengers Bangalore,2,5,0.0,1
26,A Choudhary,Gujarat Lions,15,12,1.0,0
27,A Choudhary,Kings XI Punjab,4,6,0.0,1
28,A Choudhary,Sunrisers Hyderabad,6,2,3.0,0
29,A Dananjaya,Delhi Daredevils,4,5,0.0,0
30,A Flintoff,Delhi Daredevils,16,18,0.0,1
31,A Flintoff,Mumbai Indians,24,25,0.0,1
32,A Flintoff,Royal Challengers Bangalore,22,14,1.0,0
33,A Kamboj,Kolkata Knight Riders,5,6,0.0,0
34,A Kamboj,Sunrisers Hyderabad,2,4,0.0,1
35,A Kumble,Chennai Super Kings,3,6,0.0,0
36,A Kumble,Deccan Chargers,4,6,0.0,0
