,batsman,playing_team,total_runs,total_balls_faced,strike_rate,dismissals
1,A Ashish Reddy,Deccan Chargers,35,30,1.0,4
2,A Ashish Reddy,Sunrisers Hyderabad,245,166,1.0,11
3,A Badoni,Lucknow Super Giants,851,668,1.0,32
4,A Chandila,Rajasthan Royals,4,7,0.0,0
5,A Chopra,Kolkata Knight Riders,53,75,0.0,5
6,A Choudhary,Royal Challengers Bangalore,25,20,1.0,1
7,A Dananjaya,Mumbai Indians,4,5,0.0,0
8,A Flintoff,Chennai Super Kings,62,57,1.0,2
9,A Kamboj,Chennai Super Kings,5,8,0.0,1
10,A Kamboj,Mumbai Indians,2,2,1.0,0
11,A Kumble,Royal Challengers Bangalore,35,49,0.0,2
12,A Manohar,Gujarat Titans,231,181,1.0,14
13,A Manohar,Sunrisers Hyderabad,49,50,0.0,4
14,A Mhatre,Chennai Super Kings,62,36,1.0,2
15,A Mishra,Deccan Chargers,84,73,1.0,7
16,A Mishra,Delhi Capitals,21,26,0.0,2
17,A Mishra,Delhi Daredevils,164,201,0.0,14
18,A Mishra,Lucknow Super Giants,19,30,0.0,1
19,A Mishra,Sunrisers Hyderabad,93,110,0.0,4
20,A Mithun,Royal Challengers Bangalore,34,26,1.0,5
21,A Mukund,Chennai Super Kings,0,1,0.0,1
22,A Mukund,Royal Challengers Bangalore,19,22,0.0,1
23,A Nehra,Chennai Super Kings,1,7,0.0,1
24,A Nehra,Delhi Daredevils,25,29,0.0,5
25,A Nehra,Mumbai Indians,3,13,0.0,0
26,A Nehra,Pune Warriors,11,13,0.0,0
27,A Nehra,Sunrisers Hyderabad,1,1,1.0,0
28,A Nortje,Delhi Capitals,49,51,0.0,5
29,A Raghuvanshi,Kolkata Knight Riders,360,242,1.0,12
30,A Singh,Rajasthan Royals,2,10,0.0,4
31,A Symonds,Deccan Chargers,839,638,1.0,21
32,A Symonds,Mumbai Indians,135,143,0.0,3
33,A Tomar,Kolkata Knight Riders,4,8,0.0,1
34,A Uniyal,Rajasthan Royals,4,7,0.0,1
35,A Zampa,Rajasthan Royals,10,17,0.0,3
36,A Zampa,Rising Pune Supergiant,5,7,0.0,1
37,A Zampa,Rising Pune Supergiants,0,1,0.0,1
