batsman,batsman_runs
SK Raina,4548
V Kohli,4423
RG Sharma,4207
G Gambhir,4132
DA Warner,4014
RV Uthappa,3778
CH Gayle,3651
S Dhawan,3561
MS Dhoni,3560
AB de Villiers,3486
AM Rahane,3057
YK Pathan,2922
KD Karthik,2903
BB McCullum,2755
V Sehwag,2728
SR Watson,2628
Yuvraj Singh,2591
M Vijay,2511
SE Marsh,2489
JH Kallis,2427
AT Rayudu,2416
DR Smith,2385
KA Pollard,2354
SR Tendulkar,2334
PA Patel,2322
MK Pandey,2223
R Dravid,2174
AC Gilchrist,2069
JP Duminy,1993
MEK Hussey,1977
DPMD Jayawardene,1808
RA Jadeja,1732
SPD Smith,1713
KC Sangakkara,1687
MK Tiwary,1648
AJ Finch,1604
DA Miller,1563
WP Saha,1557
NV Ojha,1553
S Badrinath,1441
SV Samson,1426
BJ Hodge,1400
SC Ganguly,1349
DJ Hussey,1322
F du Plessis,1295
SS Tiwary,1276
DJ Bravo,1262
GJ Maxwell,1229
KK Nair,1158
TM Dilshan,1153
IK Pathan,1150
Mandeep Singh,1112
ML Hayden,1107
LMP Simmons,1079
LRPL Taylor,1017
KP Pietersen,1001
Y Venugopal Rao,985
JA Morkel,975
A Symonds,974
CL White,971
MC Henriques,969
M Vohra,957
KM Jadhav,893
HH Gibbs,886
EJG Morgan,854
MA Agarwal,814
SS Iyer,807
Harbhajan Singh,799
MS Bisla,798
ST Jayasuriya,768
STR Binny,766
GC Smith,739
Q de Kock,726
KL Rahul,725
AD Mathews,724
TL Suman,676
AM Nayar,672
GJ Bailey,663
SA Yadav,608
AR Patel,606
JD Ryder,604
HM Amla,577
AD Russell,574
RR Pant,564
RS Bopara,531
JC Buttler,528
JP Faulkner,527
CJ Anderson,521
PP Chawla,515
M Manhas,514
OA Shah,506
PC Valthaty,505
Shakib Al Hasan,500
KH Pandya,480
CH Morris,439
N Rana,437
NLTC Perera,424
SA Asnodkar,423
DT Christian,420
JR Hopes,417
KS Williamson,411
J Botha,409
HH Pandya,406
LR Shukla,405
AL Menaria,401
MV Boucher,394
RA Tripathi,391
CA Pujara,390
Azhar Mahmood,388
CA Lynn,384
DB Ravi Teja,375
DJ Hooda,373
S Sohal,368
P Negi,353
R Bhatia,342
Gurkeerat Singh,342
A Mishra,340
P Kumar,340
AP Tare,339
JEC Franklin,327
RN ten Doeschate,326
Ishan Kishan,319
KV Sharma,317
BA Stokes,316
DB Das,304
R Vinay Kumar,304
LA Pomersbach,302
UBT Chand,300
DJG Sammy,295
Y Nagar,285
VVS Laxman,282
A Ashish Reddy,280
B Chipli,280
GH Vihari,280
MJ Lumb,278
SP Narine,271
R Sathish,270
M Kaif,259
SM Katich,241
SP Goswami,241
MD Mishra,237
R Ashwin,231
SW Billings,226
MR Marsh,225
K Goel,218
AA Jhunjhunwala,217
TM Head,205
PD Collingwood,203
SK Warne,198
SP Fleming,196
AS Raut,194
Salman Butt,193
BJ Rohrer,193
YV Takawale,192
MJ Guptill,189
Bipul Sharma,187
FY Fazal,183
AC Voges,181
AB Agarkar,179
SN Khan,177
MF Maharoof,177
DH Yagnik,170
CM Gautam,169
MN van Wyk,167
DW Steyn,166
PA Reddy,164
MP Stoinis,163
MN Samuels,161
R McLaren,159
RE van der Merwe,159
B Kumar,158
R Dhawan,153
MG Johnson,151
SM Pollock,147
S Vidyut,145
N Saini,140
Sachin Baby,137
S Anirudha,136
SB Styris,131
W Jaffer,130
Kamran Akmal,128
D Wiese,127
UT Khawaja,127
P Dogra,127
M Morkel,126
C de Grandhomme,126
MC Juneja,125
BB Samantray,125
B Lee,124
BCJ Cutting,124
AB McDonald,123
Niraj Patel,121
DL Vettori,121
AC Blizzard,120
Z Khan,117
RJ Harris,117
Misbah-ul-Haq,117
KK Cooper,116
M Kartik,113
MM Sharma,112
DJ Harris,111
LJ Wright,106
JDP Oram,106
RJ Quiney,103
V Shankar,101
SD Chitnis,99
MS Gony,99
MJ Clarke,98
CJ Ferguson,98
MA Starc,96
CR Brathwaite,95
UT Yadav,94
DJ Jacobs,92
PR Shah,92
RT Ponting,91
S Rana,91
DS Kulkarni,90
Iqbal Abdulla,88
SL Malinga,88
AP Majumdar,87
Ankit Sharma,87
RE Levi,83
Shahid Afridi,81
WPUJC Vaas,81
LA Carseldine,81
AD Mascarenhas,79
PJ Cummins,77
IR Jaggi,76
B Akhil,76
TR Birt,75
M Klinger,73
RR Sarwan,73
AA Bilakhia,69
RR Powar,67
R Sharma,66
Mohammad Hafeez,64
WD Parnell,63
Anirudh Singh,63
MJ McClenaghan,63
A Flintoff,62
JJ Roy,59
S Aravind,59
WA Mota,56
K Rabada,55
M Rawat,55
TG Southee,54
AJ Tye,53
A Chopra,53
RR Rossouw,53
NM Coulter-Nile,52
RP Singh,52
Shoaib Malik,52
R Rampaul,51
KB Arun Karthik,51
RV Gomez,50
AS Yadav,49
SB Bangar,49
AG Paunikar,49
J Suchith,48
Yashpal Singh,47
HV Patel,47
VR Aaron,46
CR Woakes,46
Mohammed Shami,46
I Sharma,45
Sunny Singh,43
JDS Neesham,42
SK Trivedi,42
AB Barath,42
A Nehra,41
BR Dunk,40
LPC Silva,40
DJ Thornely,39
Umar Gul,39
MM Patel,39
AUK Pathan,39
SP Jackson,38
JO Holder,38
S Narwal,37
KW Richardson,36
AN Ahmed,36
Sohail Tanvir,36
L Balaji,36
Joginder Sharma,36
A Kumble,35
R Tewatia,35
B Sumanth,35
A Mithun,34
S Sreesanth,34
AP Dole,34
L Ronchi,34
Anureet Singh,33
D Salunkhe,33
RJ Peterson,32
S Sriram,31
T Taibu,31
C Munro,30
J Syed Mohammad,29
VH Zol,29
Basil Thampi,28
SB Jakati,28
S Nadeem,26
NL McCullum,26
Sandeep Sharma,26
JM Kemp,26
AB Dinda,26
JJ Bumrah,25
A Choudhary,25
S Chanderpaul,25
ER Dwivedi,24
MA Khote,24
PJ Sangwan,24
J Arunkumar,23
NS Naik,23
BMAJ Mendis,23
SW Tait,23
GB Hogg,22
MS Wade,22
DE Bollinger,21
CA Ingram,21
NJ Maddinson,20
Kuldeep Yadav,20
RR Raje,20
AD Nath,20
AC Thomas,20
Harpreet Singh,20
M Muralitharan,20
P Sahu,19
Vishnu Vinod,19
DR Martyn,19
Y Gnaneswara Rao,19
A Mukund,19
R Bishnoi,19
R Shukla,19
DS Lehmann,18
Harmeet Singh,18
Imran Tahir,18
BJ Haddin,18
JJ van der Wath,18
PV Tambe,18
Parvez Rasool,17
CK Kapugedera,16
PP Ojha,16
VY Mahesh,15
YS Chahal,15
C Madan,15
SA Abbott,15
KC Cariappa,15
GR Napier,15
S Gopal,14
DL Chahar,14
F Behardien,14
MDKJ Perera,14
DT Patil,13
S Badree,13
KJ Abbott,13
AA Chavan,12
Karanveer Singh,12
DAJ Bracewell,12
AR Bawne,12
K Upadhyay,12
T Thushara,12
Swapnil Singh,12
T Kohli,11
T Henderson,11
M Ntini,11
Rashid Khan,11
DNT Zoysa,11
SMSM Senanayake,10
KAJ Roach,10
D du Preez,10
TD Paine,10
J Theron,10
X Thalaivan Sargunam,10
AG Murtaza,10
SM Harwood,9
S Kaul,9
AA Noffke,9
Washington Sundar,9
CK Langeveldt,8
TM Srivastava,8
Jaskaran Singh,8
TS Mills,8
CJ McKay,8
I Malhotra,7
UA Birla,7
SN Thakur,7
AF Milne,7
VS Malik,7
Pankaj Singh,7
Ankit Soni,7
AN Ghosh,7
SB Joshi,6
AS Rajpoot,6
BA Bhatt,6
DM Bravo,6
J Yadav,6
SS Shaikh,6
PSP Handscomb,6
A Zampa,5
P Awana,5
KMDN Kulasekara,5
TA Boult,5
SJ Srivastava,5
JD Unadkat,5
Shivam Sharma,5
DP Nannes,4
A Chandila,4
GD McGrath,4
FH Edwards,4
CRD Fernando,4
BB Sran,4
A Uniyal,4
VRV Singh,4
B Laughlin,4
RS Sodhi,4
CJ Jordan,3
R Ninan,3
D Kalyankrishna,3
BAW Mendis,3
RD Chahar,3
S Tyagi,3
Kamran Khan,3
JE Taylor,3
Younis Khan,3
Mohammad Asif,3
A Singh,2
Mashrafe Mortaza,2
VS Yeligati,2
Shoaib Akhtar,2
H Das,2
RS Gavaskar,2
SB Wagh,2
S Randiv,2
KP Appanna,2
Mohammad Nabi,2
RG More,2
Mohammad Ashraful,2
P Parameswaran,1
SE Bond,1
DP Vijaykumar,1
Shoaib Ahmed,1
PM Sarvesh Kumar,1
BE Hendricks,1
NJ Rimmington,1
DJ Muthuswami,1
M de Lange,1
LH Ferguson,1
C Nanda,0
YA Abdulla,0
V Pratap Singh,0
U Kaul,0
ND Doshi,0
S Kaushik,0
L Ablish,0
S Ladda,0
RR Bhatkal,0
M Ashwin,0
Abdur Razzak,0
IC Pandey,0
Sunny Gupta,0
